Head,Message,Type
COVID-19., People of Italy throwing money on the streets as they felt that the money couldn’t save them from COVID-19.,Fake
Corona Back balloon., Image showing Indian Political party (DMK) workers demonstrating with Go Corona Back balloon.,Fake
coronavirus., Italian doctor couple disgnosed with coronavirus.,Fake
 Brazilians observed Indian Prime Minister Narendra Modi, Brazilians observed Indian Prime Minister Narendra Modi’s “lights out” call.,Real
Coronavirus, Video of Muslims gathered on roads despite the curfew to curb the spread of Coronavirus.,Fake
kill COVID-19., BBMP (Bruhat Bengaluru Mahanagara Palike) will be spraying medicine in the air after 10 PM tonight in order to kill COVID-19.,Fake
coronavirus in cow urine., Xi Jinping has said that Chinese scientists found cure for coronavirus in cow urine.,Fake
coronavirus., Andhra Pradesh Chief Minister YS Jagan Reddy has claimed that ‘Paracetamol’ is the only medication for coronavirus.,Fake
coronavirus pandemic., Italy’s Prime Minister Giuseppe Conte broke down publicly due to the ongoing coronavirus pandemic.,Fake
 coronavirus., Rapper Eminem contacted coronavirus.,Fake
under quarantine., Indian Actor Kamal Hassan put under quarantine.,Fake
 Indian State of Kerala’s government, Indian State of Kerala’s government is paying news channels to telecast CM’s interview.,Fake
 COVD19 in the country., Chinese converting to Islam after realizing that no Muslim was affected by COVD19 in the country.,Fake
sharing information related to the coronavirus ," As per Home Ministry of India, sharing information related to the coronavirus is now a punishable offense.",Fake
Photo viral arm burned, Images of money thrown on streets by helpless Italians.,Fake
Coronavirus patients, A recent video of Coronavirus patients at an airport in China and gauge how serious the situation is.,Fake
contracted coronavirus, 1. Chinese Prime Minister Li Keqiang visited a mosque and seek protection to the country from coronavirus. ,Fake
contracted coronavirus," Pakistan’s Dr. Usama Riaz, who contracted coronavirus while treating patients had left a before he died.",Fake
 Coronavirus outbreak., People shouting ‘Allahu Akbar’ in Europe after the Coronavirus outbreak.,Fake
COVID_19, Telangana Ministry in India distributed homeopathic tablets claimed to prevent COVID-19.,Fake
Effected of coronavirus, A line of coffins suggesting they are from Italy currently.,Fake
Photo viral arm burned," A photo of a man and woman embracing has been shared hundreds of times on Facebook and Twitter alongside a claim that it shows two Italian doctors who died of a novel coronavirus, COVID-19, after contracting the disease from the patients they treated.",Fake
Photo viral arm burned, Image of the people who died of Coronavirus in Italy.,Fake
coronavirus outbreak., Coronavirus will be cured within 2 hours by drinking bitter gourd juice.,Fake
coronavirus outbreak., Drinking alcohol kills the coronavirus.,Fake
coronavirus outbreak., Weed kills coronavirus.,Fake
coronavirus outbreak., This image is related to the coronavirus outbreak.,Fake
COVID19, Inhalation of steam from hot water kills COVID19,Fake
coronavirus ," 7 children die of coronavirus with 1 week in Karimganj (Assam, India).",Fake
coronavirus , Bill Gates wrote a letter where he says coronavirus has a “spiritual purpose” and is “a great corrector”.,Fake
coronavirus vicitims., President Xi Jinping visits Masjid to pray for the coronavirus vicitims.,Fake
Photo viral arm burned, Photo of the prime minister of Italy crying and expressing his helplessness that he couldn’t save coronavirus patients in Italy.,Fake
Video viral crackdown," “Ministry of Health ITALY released a small video, HOW the virus spreads!!!… BEST VIDEO. Please see ..how innocently it spread. SOAP is the remedy CLEAN/ WASH ur Hands always”",Real
despite the lockdown., This is a picture of the old city in Hyderabad (India) today despite the lockdown.,Fake
coronavirus., India has developed treatment for coronavirus.,Fake
coronavirus," Pakistan’s leading scholar Mufti Naeem suffers from coronavirus. A few days ago, he refused to close madrasas and mosques.",Fake
Coronavirus patient, Coronavirus patient arrested in Punjab,Fake
COVID-19., Mustard oil prevents a person from getting infected with COVID-19.,Fake
PM Modi on 2nd April ’20 announced , PM Modi on 2nd April ’20 announced extension of nationwide lockdown till 4 May 2020.,Fake
Video viral crackdown, A video claiming bodies packed in body bags are being dumped in mass graves in Italy and Spain’.,Fake
Effected of coronavirus, Lemon bicarbonate as tea and green tea can treat and prevent coronavirus.,Fake
Video viral crackdown, Video of the new hospital set up by China for coronavirus patients.,Fake
Photo viral arm burned, Photo of the prime minister of Italy crying and expressing his helplessness that he couldn’t save coronavirus patients in Italy.,Fake
coronavirus pandemic., Multiple posts on Facebook and Twitter claim the World Health Organization (WHO) has warned against eating cabbage during the novel coronavirus pandemic.,Fake
contracting COVID-19., Chinese President Xi Jinping visited Muslims to understand why Muslims are not contracting COVID-19.,Fake
prevent coronavirus., Indian President Ramnath Kovind pouring gaumutra (cow urine) on globe to prevent coronavirus.,Fake
 coronavirus, China is seeking court’s approval to kill 20000 people positive with coronavirus,Fake
COVID-19, No more deaths from COVID-19 as Israel scientists have discovered a vaccine for COVID-19.,Fake
 COVID-19 in one day , 2000 people died of COVID-19 in one day (on March 15) in France.,Fake
Effected of coronavirus, Tokyo Olympics logo has been redesigned on the theme of social distancing.,Real
Video viral crackdown, A video of bat infested roof claimed to be from Hubei-china claiming it to be the source of coronavirus.,Fake
Coronavirus , The lockdown due to Coronavirus has led to the reemergence of a large flock of birds at the riverfront in Ahmedabad.,Fake
"The Russian president, "," The Russian president, Putin, has left 800 lions outside to make people stay in their homes.",Fake
Riots in London due to the unavailability of food items, Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.,Fake
 Coronavirus, Home Ministry of India have issued an order that sharing of any news related to Coronavirus is an punishable offense under the IT Act.,Fake
Coronavirus, An image of a couple who are claimed to be doctors and have lost their lives due to Coronavirus,Fake
cure COVID-19., Aaj Tak channel telecasted a program that said drinking alcohol or smoking weed can cure COVID-19.,Fake
Video viral crackdown, Video of Muslims applying their saliva to plates and spoons to spread the coronavirus disease.,Fake
" Donald Trump said,"," Donald Trump said, “People are dying who have never died before”",Fake
"25,000 Chinese are being killed."," Videos stating that 25,000 Chinese are being killed.",Fake
Tablighi Jamaat, A video shows man claiming to be of Tablighi Jamaat (a Muslim group) spitting on police when they were putting him into quarantine.,Fake
positive for COVID-19, Prince Charles tested positive for COVID-19 after meeting Bollywood singer Kanika Kapoor.,Fake
coronavirus, Weed (cannabis) cures coronavirus.,Fake
coronavirus," Pigs burried in china, is it because of coronavirus?",Fake
Effected of coronavirus, Can garlic soup cure coronavirus?,Fake
COVID19 infection., Indian State of Kerala’s Opposition leader writes to Chief Minister Pinarayi Vijayan to adopt methods to save only those with stronger immunity from COVID19 infection.,Fake
evacuation flight, Air India is operating evacuation flights to bring back stranded Indians from London.,Fake
coronavirus pandemic.," 18 nations, including the US and the UK, want Indian Prime Minister Narendra Modi to be the leader of the task force to combat the coronavirus pandemic.",Fake
coronavirus.," Disaster management act has been implemented, no citizen is allowed to post any update on coronavirus.",Fake
 Effects of coronavirus, Effects of coronavirus on an affected persons lip.,Fake
 coronavirus Isn’t New Virus., Clorox Already Knew About coronavirus And coronavirus Isn’t New Virus.,Fake
coronavirus originated from the rooftop, Bats responsible for the outbreak of coronavirus originated from the rooftop of a house in Wuhan.,Fake
travel lockdown," More than 35 million people in China are now on a travel lockdown. More than 2700 have been sickened, and 81 have died.",Fake
coronavirus., Italians bidding goodbye to the world because of coronavirus.,Fake
prevent Coronavirus., Rubbing mustard oil on your nostrils can prevent Coronavirus.,Fake
 COVID-19.," Kerala has asked NABARD for a loan of Rs 20,000 crore to deal with COVID-19.",Fake
coronavirus tests," While coronavirus tests in other countries are conducted for free or at nominal charges, in India, it costs Rs 4,500",Fake
Chinese goverment., People In Wuhan Locked inside their houses by the Chinese goverment.,Fake
failure at lockdown implementation., People in Italy are throwing money on the road as they are saddened by the fact that all the money in the world could save their dear ones.,Fake
Failure at lockdown implementation, Indian state of Madhya Pradesh’s Goverement have issued order of shoot at sight due to failure at lockdown implementation.,Fake
Photo viral arm burned, An image of arms burned for allegedly using gel alcohol to disinfect.,Fake
COVID-19 Breeds Rapidly, COVID-19 Breeds Rapidly In Toilet Paper.,Fake
Affected with coronavirus, Look at the condition of of a Karimnagar person who is affected with coronavirus.,Fake
 Riots in London due to the unavailability of food items, Riots in London due to the unavailability of food items. The United Kingdom will be locked down by tonight. Army soldiers take to the UK streets.,Fake
 Saddam Hussein in 90s talking about coronavirus, Saddam Hussein in 90s talking about coronavirus to his cabinet and army that America has threatened him to spread this virus if he doesn’t follow their command.,Fake
 Doctored image of Donald Trump shared claiming, Doctored image of Donald Trump shared claiming he asked people to chant Hare Krishna Hare Rama.,Fake
 Infected with coronavirus, Indian yogu guru Baba Ramdev has been infected with coronavirus.,Fake
Coronavirus killed the people, China is planning to kill coronavirus patients.,Fake
Indian Telecom company, Indian Telecom company Jio announced a free recharge worth Rs 498 for all Indian citizens during Coronavirus lockdown,Fake
Wake of COVID-19.," Office Memorandum of the Indian Ministry of Health & Family Welfare declaring holidays to the states of Maharashtra, Gujarat, Uttar Pradesh and Sikkim in the wake of COVID-19.",Fake
Viral photo in India, Pictures of people stranded on hospital beds claimed to be Italy not coping with the pressure of COVID-19 cases and that India should learn from Italy’s mistakes and not step out of the house in the 21 days lockdown,Fake
Man Critical With Novel coronavirus," Man Critical With Novel coronavirus In Barhalganj, India.",Fake
Coronavirus outbreak, Russia has unleashed over 500 lions to ensure that people stay inside their homes amid the coronavirus outbreak.,Fake
Effected of coronavirus," A photo has been shared hundreds of times in multiple posts on Facebook and Twitter alongside a claim it shows the bodies of people who died in Italy after they became infected with the novel coronavirus, COVID-19.",Fake
UNICEF, UNICEF releases coronavirus prevention guidelines.,Fake
Many item in markets to shut down," Timings for sale of milk, newspapers, grocery and medical stores have been issued by the Mumbai Police commissioner.",Fake
Video viral crackdown, Video of Italian police taking down a man who has come on to the streets despite lockdown in the country.,Fake
Lockdown of the Coronavirus," A herd of deer shared as them flocking out in Tamil Nadu, India due to the lockdown of the Coronavirus",Fake
Food delivery apps in India, Beware of food delivery apps in India as they blow into the food before packaging it.,Fake
 Image of police punishing people in Indian state, Image of police punishing people in Indian state of Assam for violating the curfew.,Real
Video viral crackdown, Video of a person infected with coronavirus comitting suicide in New York.,Fake
 Indian Social Activist , Indian Social Activist Trupti Desai arrested for buying liquor during Covid 19 lockdown.,Fake
"20,000 patients affected with coronavirus"," China court gave permission to kill 20,000 patients affected with coronavirus.",Fake
 Disaster Management Act has been implemented across India," Disaster Management Act has been implemented across India. As per the act, apart from the government departments, no other citizen is allowed to post or share any forward related to the novel coronavirus.",Fake
Video viral crackdown, A video of a man committing suicide by jumping from a hotel in Italy as his entire family died due to coronavirus.,Fake
Video viral crackdown, Videos of patient gasping for breath shown as patient from India.,Fake
 WHO’s India Director’s," Recording of a conversation where one claims to be a friend of WHO’s India Director’s brother- Saurabh, who gave him information that India will go into a complete lockdown mode from 15th April to 15th June 2020.",Fake
Symptoms of COVID-19., Popular Cardiologist Devi Shetty talking about symptoms of COVID-19.,Fake
Story in India," Stones were hurled at police in Gomatipur, Ahmedabad (India) when they went to search suspects who attended the Nizamuddin Markaz event in Delhi.",Fake
TV talk about covid-19, India TV telecasted news that Bollywood Actor Shahrukh Khan donated 450 million (45 Crore) Rupees to Pakistan Oil tanker blast victims.,Fake
Coronavirus outbreak, Chinese PM visited mosque following coronavirus outbreak.,Fake
 Lying on the road of Italy, The bodies of people infected with coronavirus are lying on the road of Italy. No one is carrying them due to the risk of infection.,Fake
Effected of coronavirus, This coronavirus-infected patient reached to Dr. Vinod Kumar but he wasn’t given the treatment. He was later referred to Bhagalpur. It further states that one should avoid meat and fish for 3 months and wear mask to protect yourself from coronavirus.,Fake
Viral vedeo about coronavirus, Video of passengers infected with Coronavirus on an Ethiopian Airlines flight from Italy that reached Addis Ababa airport.,Fake
They are not symptoms of COVID-19, Runny nose and coughing sputum suggest that one does not have COVID-19. They are not symptoms of COVID-19.,Fake
Fake about handsanitizer, Woman burned her hands while putting on the stove due to high alcohol content in hand sanitiser.,Fake
Video viral crackdown, A video that shows the dead bodies being taken away in a convoy of cars is from a hospital in Iran.,Fake
Viral about vaccine can cure coronavirus, Gargling warm water with either salt or vinegar can eliminate coronavirus.,Fake
Tea can cure COVID-19 patients suggested by China," Tea can cure COVID-19 patients suggested by China’s whistleblower doctor Li Wenliang, the news was published by CNN.",Fake
An audio clip claiming to be of renowned heart surgeon Dr Devi Shetty," An audio clip claiming to be of renowned heart surgeon Dr Devi Shetty is going viral on Facebook, Twitter, and WhatsApp.",Fake
 Video of American President Donald Trump, Video of American President Donald Trump announcing that Roche Medical Company will launch the vaccine for COVID-19 next Sunday.,Fake
 Man contracts COVID-19, Man contracts COVID-19 by eating mutton.,Fake
 Audio claiming India, Audio claiming India would be put under a complete lockdown.,Fake
 Coronavirus as a punishable offence, The Indian Home Ministry considers posting anything about Coronavirus as a punishable offence.,Fake
Effected of coronavirus, Alcohol kills coronavirus,Fake
Viral vedeo about coronavirus," A video is doing the rounds in already flooded WhatsApp groups. It is being claimed that the lady shown in the video is the wife of Canada’s PM Justin Trudeau. In the viral video, a lady can be seen describing her improved condition because of medication and also warns to not take chances.",Fake
Effected of coronavirus, Image of mother unable to feed her suckling as she battles COVID-19.,Fake
Lying Indian government is going to declare a national emergency, Dr Naresh Trehan has said that the Indian government is going to declare a national emergency.,Fake
Viral photo about Covid-19," A photo of a man and woman embracing has been shared hundreds of times on Facebook and Twitter alongside a claim that it shows two Italian doctors who died of a novel coronavirus, COVID-19, after contracting the disease from the patients they treated.",Fake
 Misinformation regarding COVID19, Indian prime minister Modi announced internet ban due to the spead of misinformation regarding COVID19,Fake
Effected of coronavirus, Coronavirus found in Broiler Chicken,Fake
 UNICEF, Precautionary measures suggested by the UNICEF.,Fake
 The World Health Organization, The World Health Organization has prescribed a lockdown strategy to tackle COVID-19 which India is following.,Fake
Vaccine that can cure coronavirus, Israel and USA have come up with a vaccine.,Fake
Effected of Covid-19, Italians throwing money on streets amidst COVID19.,Fake
Jus can cure the coronavirus, Bitter gourd juice can cure Coronavirus.,Fake
 An image with human body figurines in a bowl, An image with human body figurines in a bowl that claims China is serving human baby soup in its restaurants.,Fake
Frontliner services in lockdown, A police commissioner from Mumbai has asked essential services to be available at certain hours.,Fake
China needs coronavirus SWAT, China needs coronavirus SWAT (special weapons and tactics) police team to arrest this drop dead virus victim.,Fake
Government to fight the coronavirus, Amitabh Bachchan gave 500 million rupees to the Mumbai government to fight the coronavirus.,Fake
Effected of coronavirus, Garlic water can cure coronavirus.,Fake
Many photo viral about vaccine of coronavirus, Photo of a vaccine developed by US scientists for COVID-19.,Fake
COVID-19 government," Goats in Ajmer, Rajasthan were found to be COVID-19 positive.",Fake
COVID-19 positive, Actor Vijay’s father criticized government for enforcing curfew to abate COVID-19.,Fake
 Russian president, Russian president using lions to ensure people stayed indoors in Russia.,Fake
The viral text message claims, The viral text message claims that the chemical substances (methylxanthines) required to cure COVID-19 can be found in tea. Dr. Li Wenliang had found this cure while researching about coronavirus before his death.,Fake
Tabligh Jamaat, Tabligi Jamat members in India are licking plates to spread COVID-19.,Fake
 In surgical masks," In surgical masks, the white filter side is supposed to be worn outside and the colored on the inside.",Fake
Prime Minister lost control, Image attributed to Italian Prime Minister suggesting Italy has lost control.,Fake
WhatsApp forward has gone viral which claimed that a vaccine for coronavirus , A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in India’s Intermediate Zoology book.,Fake
Many item in markets to shut down, Chennai municipal corporation has asked all vegetable and fruit markets to shut down.,Fake
COVID-19 in India, Man is spitting on police officer to spread COVID-19 in India.,Fake
Indian social activist, An Indian social activist was arrested when she tried to buy liquor during the lockdown period.,Fake
Lockdown in Italy, A video of a policeman taking down a man wandering during ‘lockdown in Italy’.,Fake
Covid-19 picture, Photo of a vaccine developed by US scientists for COVID-19.,Fake
Covid-19 pandemic, Italian PM said that the country has surrendered to the Covid-19 pandemic,Fake
Coronavirus and it being punishable offence, Sri Lankan police made an announcement stating that citizens are not allowed to post any update or share any forward related to Coronavirus and it being punishable offence.,Fake
Viral about lockdown , News channel graphic stating that the Indian lockdown is to be extended to May 4.,Fake
Spraying medicine to kill Coronavirus, Indian City Bangalore Muncipal Corp. requested people to stay at home and lock down houses as they will be spraying medicine to kill Coronavirus.,Fake
Coronavirus victims, Image of coronavirus victims in China.,Fake
 Hindu God Ganesha’s idol, Hindu God Ganesha’s idol placed and worshiped inside an Italian Church.,Fake
Cures Coronavirus says a doctor , Gargling with hot water cures Coronavirus says a doctor from Mumbai’s COVID-19 hospital.,Fake
Lying about Coronavirus outbreak., Doctors and nurses in Italy are dying and are lying dead on the ground due to the Coronavirus outbreak.,Fake
Effected of coronavirus, Coronavirus is found in Broiler Chicken.,Fake
Outbreak in India," Indian Businessman, WIPRO Chairman, and philanthropist Azim Prem donated 50,000 Crore to fight the COVID-19 outbreak in India.",Fake
Video viral crackdown, Video shows Chinese police crackdown on coronavirus patients.,Fake
Video viral crackdown, Video of a family died due to novel coronavirus.,Fake
Product claiming to have been proven to ‘kill coronavirus’ , A picture of a Dettol disinfectant spray is being shared online in which the label on the back of a bottle shows the product claiming to have been proven to ‘kill coronavirus’ and that they knew about the new strain since 2019.,Fake
Effected of coronavirus, Weed kills coronavirus.,Fake
Effected of coronavirus, Fake News Of coronavirus Infecting Boiler Chicken.,Fake
Dettol sanitizer can kill coronavirus, Dettol sanitizer can kill coronavirus. The company knew about the coronavirus back in 2019.,Fake
 WHO report about coronavirus," According to a report by the WHO, coronavirus lives the longest in the cabbage layer. In the rest of the place the virus is staying for 9-12 hours, whereas in cabbage, this virus is staying for more than 30 hours. People of all cities are requested not to eat cabbage.",Fake
Hold breath can stop coronavirus," If you can hold your breath for more than 10 seconds, you are not infected by coronavirus.",Fake
Outbreak of coronavirus in China, Picture of people lying on the street is being shared online with a caption that implies that the picture is related to the recent outbreak of coronavirus in China.,Fake
Using army for control coronavirus, The Indian Army has been called to control seven areas in Mumbai that are nor following the 21 day lockdown and are out of the Mumbai police’s control.,Fake
 Coronavirus pandemic, President of Italy crying because of coronavirus pandemic.,Fake
Coronavirus on Whatsapp, Indian Home Secretary warning against those who post about Coronavirus on Whatsapp will be prosecuted except for government agencies.,Fake
Psitive Covid -19 cas, Pakistan’s PM Imran Khan tested COVID-19 positive.,Fake
Lockdown in Spain, Video of Police strictly implementing lockdown in Spain.,Fake
Prime Minister wearing mask, Image of Pakistani Prime minister Imran Khan and Chinese president Xi Jinping in which Imran Khan is wearing mask.,Fake
Coronavirus died, A viral video purportedly from Italy shows a child crying for his mother who died due to Coronavirus.,Fake
Social media claiming," An Image is being shared on social media claiming; this italian doctor couple in the picture worked day and night and saved the lives of 134 patients, but on the eighth day, they caught coronavirus and died after an hour.",Fake
United States of America threatened Iraq with coronavirus, The United States of America threatened Iraq with coronavirus in 1990.,Fake
China due to coronavirus, People behaving abnormally in China due to coronavirus.,Fake
